date,equity
2019-05-27,93550139.35767402
2019-05-28,93708839.35767402
2019-05-29,93708839.35767402
2019-05-30,93655939.35767402
2019-05-31,93497239.35767402
2019-06-03,93444339.35767402
2019-06-04,93391439.35767402
2019-06-05,93300832.67409901
2019-06-07,93300832.67409901
2019-06-10,93300832.67409901
2019-06-11,93300832.67409901
2019-06-12,93300832.67409901
2019-06-13,93300832.67409901
2019-06-14,93300832.67409901
2019-06-17,93300832.67409901
2019-06-18,93300832.67409901
2019-06-19,93300832.67409901
2019-06-20,93300832.67409901
2019-06-21,93300832.67409901
2019-06-24,93300832.67409901
2019-06-25,93300832.67409901
2019-06-26,93300832.67409901
2019-06-27,93300832.67409901
2019-06-28,93300832.67409901
2019-07-01,93300832.67409901
2019-07-02,93300832.67409901
2019-07-03,93300832.67409901
2019-07-04,93300832.67409901
2019-07-05,93300832.67409901
2019-07-08,93300832.67409901
2019-07-09,93300832.67409901
2019-07-10,93300832.67409901
2019-07-11,93300832.67409901
2019-07-12,93300832.67409901
2019-07-15,93300832.67409901
2019-07-16,93300832.67409901
2019-07-17,93300832.67409901
2019-07-18,93300832.67409901
2019-07-19,93300832.67409901
2019-07-22,93300832.67409901
2019-07-23,93291911.73805042
2019-07-24,93234623.73805042
2019-07-25,93139019.73805042
2019-07-26,93148691.73805042
2019-07-29,93110375.73805042
2019-07-30,93196431.73805042
2019-07-31,93339651.73805042
2019-08-01,93349199.73805042
2019-08-02,93339651.73805042
2019-08-05,93444803.73805042
2019-08-06,93817299.73805042
2019-08-07,93568927.73805042
2019-08-08,93578475.73805042
2019-08-09,93549831.73805042
2019-08-12,93473447.73805042
2019-08-13,93597571.73805042
2019-08-14,93502091.73805042
2019-08-16,93435255.73805042
2019-08-19,93654859.73805042
2019-08-20,93769559.73805042
2019-08-21,93931875.73805042
2019-08-22,93788655.73805042
2019-08-23,93855491.73805042
2019-08-26,93693051.73805042
2019-08-27,93654859.73805042
2019-08-28,93721819.73805042
2019-08-29,93807751.73805042
2019-08-30,93788655.73805042
2019-09-02,93855491.73805042
2019-09-03,93807751.73805042
2019-09-04,93855491.73805042
2019-09-05,93922327.73805042
2019-09-06,93912779.73805042
2019-09-09,93779107.73805042
2019-09-10,93998835.73805042
2019-09-11,93798203.73805042
2019-09-16,93865039.73805042
2019-09-17,93874587.73805042
2019-09-18,93874587.73805042
2019-09-19,93817916.01819542
2019-09-20,93820289.03874782
2019-09-23,93827123.38946782
2019-09-24,93790969.47171782
2019-09-25,93527569.47171782
2019-09-26,93250369.47171782
2019-09-27,93184569.47171782
2019-09-30,93322203.31746782
2019-10-01,93198203.31746782
2019-10-02,92874703.31746782
2019-10-04,92807084.67720783
2019-10-07,92758755.68069978
2019-10-08,94094976.10912184
2019-10-10,93685292.10912184
2019-10-11,93505550.72749378
2019-10-14,93492134.42847578
2019-10-15,93749160.01222578
2019-10-16,94119605.01222578
